,run_id,flow_id,accuracy,f_measure,area_under_roc_curve,average_cost,kappa,kb_relative_information_score,mean_absolute_error,mean_prior_absolute_error,prior_entropy,relative_absolute_error,root_mean_prior_squared_error,root_mean_squared_error,root_relative_squared_error,data_preprocessing,classifier,feature_preprocessing
0,3807068,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
1,3809199,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
2,3809243,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
3,3809448,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
4,3811787,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
5,3814632,6840,0.7,0.5764705882352942,0.6607809523809524,0.0,0.0,78.75711126271037,0.3723578864559236,0.42015968063872167,0.8817783329695427,0.8862294589758579,0.45825774337365466,0.4316485857523634,0.9419340796613782,1,1,1
6,3830202,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
7,3830513,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
8,3830645,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
9,3830900,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
10,3831121,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
11,3831435,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
12,3831461,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
13,3832170,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
14,3832543,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
15,3833042,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
16,3833298,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
17,3836147,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
18,3837158,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
19,3837907,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
20,3840819,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
21,3846410,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
22,3846499,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
23,3846918,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
24,3848039,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
25,3848365,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
26,3848374,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
27,3848776,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
28,3848846,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
29,3849573,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
30,3850761,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
31,3851326,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
32,3852366,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
33,3853391,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
34,3853492,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
35,3853545,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
36,3853678,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
37,3853800,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
38,3854010,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
39,3854609,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
40,3854615,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
41,3855987,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
42,3858270,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
43,3859927,6840,0.7,0.5764705882352942,0.5,0.0,0.0,0.3733302686426763,0.4200000000000029,0.42015968063872167,0.8817783329695427,0.9996199524940708,0.45825774337365466,0.4582575694955868,0.9999996205670928,1,1,1
44,3860130,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
45,3860522,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
46,3861959,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
47,3861964,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
48,3862355,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
49,3863603,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
50,3863692,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
51,3872416,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
52,3872761,6840,0.7,0.576471,0.5,0.0,0.0,0.37333,0.42,0.42016,0.881778,0.99962,0.458258,0.458258,1.0,1,1,1
53,3873932,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
54,3877360,6840,0.7,0.576471,0.660781,0.0,0.0,78.757111,0.372358,0.42016,0.881778,0.886229,0.458258,0.431649,0.941934,1,1,1
